winery,country,provinces,prices,scores,designations,varieties,num_wines
Dal Forno Romano,{Italy},{Veneto},"{500.0, 470.0}","{96, 95}",{Vigneto di Monte Lodoletta},"{Corvina, Rondinella, Molinara}",2
Dalfiume,{Italy},{Central Italy},{6.0},{87},{Rubicone},{Sangiovese},1
Dalla Valle,{US},{California},{120.0},{96},{Maya},{Red Blend},1
Dallas Conté,{Chile},{Rapel Valley},{15.0},{85},{Reserve},{Cabernet Sauvignon-Merlot},1
Dalrymple,{Australia},{Tasmania},"{40.0, 65.0, 35.0}","{90, 91, 87}","{Pipers River, Bicheno Single Site, Pipers River Cave Block Estate, Coal River Valley Single Site}","{Pinot Noir, Chardonnay}",8
Dalton,"{Israel, US}","{Galilee, Israel, Samson, California}","{32.0, 12.0, 13.0, 15.0, 18.0, 20.0, 22.0, 23.0, 25.0, 28.0, 30.0}","{86, 87, 88, 89, 90, 91, 92, 93}","{Estate, Canaan, Reserve, Alma Semillon-Viognier-Pinot Gris, D Oak Aged}","{Cabernet Sauvignon, White Blend, Red Blend, Shiraz, Rhône-style Red Blend}",25
Damalisco,{Spain},{Northern Spain},"{25.0, 20.0, 15.0}","{88, 82, 85}","{Crianza, Roble}",{Tinta de Toro},4
Damia,{Spain},{Catalonia},{18.0},{85},{1637 Seleccion Especial Brut Rosado},{Sparkling Blend},1
Damian Rae,{US},{California},"{48.0, 44.0, 38.0}","{90, 84, 87}","{Doctor's Vineyard, White Hawk, White Hawk Vineyard}","{Syrah, Pinot Noir}",4
Damiani,{US},{New York},"{34.0, 35.0, 41.0, 10.0, 43.0, 45.0, 47.0, 16.0, 18.0, 19.0, 20.0, 22.0, 23.0, 25.0, 26.0, 29.0}","{84, 85, 86, 87, 88, 89, 90, 91}","{Reserve, Dry, Bollicini, Sunrise Hill Vineyard, Barrel Select}","{Sparkling Blend, Pinot Noir, Riesling, Rosé, Merlot}",43
Damien et Romain Bouchard,{France},{Burgundy},{40.0},{92},{Montée de Tonnerre Premier Cru},{Chardonnay},1
Damilano,{Italy},{Piedmont},"{90.0, 200.0, 76.0, 48.0, 50.0, 23.0, 85.0, 86.0, 87.0, 215.0, 93.0}","{89, 90, 91, 92, 93, 95}","{Cannubi, Liste, Lecinquevigne, Marghe, Brunate Cannubi}",{Nebbiolo},16
Damsel,{US},{Washington},"{32.0, 42.0}","{89, 91}",{Boushey Vineyard},"{Syrah, Cabernet Franc}",3
Dan Aykroyd Wines,{US},{California},{20.0},{83},{Discovery Series},{Chardonnay},1
DanCin,{US},{Oregon},"{32.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 42.0, 29.0, 30.0}","{85, 87, 90, 91, 92, 93, 94}","{Capriccio, Melodia, Septette, Chaîné, Mélange}","{Pinot Noir, Chardonnay, Syrah, Red Blend}",27
Dance,{US},{Washington},{37.0},{89},{Kaiser Vineyard at The Benches},{Chardonnay},1
Dancing Bear Cellars,{US},{California},{20.0},{85},{Shea Cuvée},{Pinot Noir},1
Dancing Coyote,{US},{California},"{11.0, 12.0, 14.0}","{88, 89, 84, 86}","{Estate, Estate Grown, Rhumba}","{Petite Sirah, White Blend, Albariño, Grüner Veltliner, Pinot Noir}",5
Dancing Flame,{Chile},{Central Valley},{10.0},"{85, 87}",{Ojos del Salado},"{Cabernet Sauvignon, Sauvignon Blanc}",2
Dane Cellars,{US},{California},"{40.0, 32.0, 36.0, 34.0}","{88, 82, 84, 85}","{Justi Creek Vineyard, Old Vine, Jackknife Corner, Old Vine Gehricke Road, Los Chamizal Vineyard}","{Zinfandel, Grenache, Cabernet Sauvignon, Syrah}",8
Danie de Wet,{South Africa},{Robertson},"{16.0, 17.0, 45.0}","{88, 89, 87}","{Limestone Hill, Bateleur}",{Chardonnay},4
Daniel,{US},{California},{60.0},{93},{Ferrington Vineyard},{Pinot Noir},1
Daniel Barraud,{France},{Burgundy},{32.0},{91},{Alliance},{Chardonnay},1
Daniel Belda,{Spain},{Levante},{16.0},{83},{Ponsalet Jove},{Monastrell},1
Daniel Chotard,{France},{Loire Valley},"{35.0, 39.0}","{91, 93, 94}","{Les Cris, Le Chant de l'Archet, Cuvée Marcel Henri}","{Sauvignon Blanc, Pinot Noir}",4
Daniel Cohn,{US},{California},"{25.0, 22.0}","{89, 90}",{Bellacosa},{Cabernet Sauvignon},2
Daniel Gehrs,{US},{California},"{32.0, 40.0, 18.0, 20.0, 24.0}","{83, 84, 85, 86, 87, 90}","{Limited Selection, Oak Free, White Hills Vineyard, Bandolero, Limited}","{Chardonnay, Syrah, Chenin Blanc, Red Blend, Pinot Noir}",7
Daniel Rion,{France},{Burgundy},"{65.0, 52.0}","{89, 92, 87}","{Les Beaux-Monts, Clos dea Argillieres, Les Charmes}",{Pinot Noir},3
Daniel Wines,{US},{California},{60.0},{91},{Grand Vent Vineyard},{Pinot Noir},2
Daniele Reale,{Italy},{Piedmont},{20.0},{87},{La Fiù},{Barbera},2
Danieli,{Georgia},{Kakheti},{20.0},{88},{Premium},{Kisi},1
Danielle de l'Ansée,{France},{Loire Valley},{12.0},{85},{Cuvée DA},{Sauvignon Blanc},1
Dante,{US},{California},"{10.0, 11.0}","{81, 82, 85}",{Reserve},"{Chardonnay, Merlot, Pinot Noir, Cabernet Sauvignon, Moscato}",5
Dante Rivetti,{Italy},{Piedmont},"{78.0, 60.0, 46.0}","{89, 86, 87}","{Bricco di Neive Riserva, Bric' Micca, Bric Micca}",{Nebbiolo},7
Dante Robere,{US},{California},"{33.0, 34.0, 36.0, 38.0, 39.0, 46.0, 29.0, 31.0}","{85, 86, 87, 88, 90, 91, 92}","{Dante's Inferno, Love Ranch Vineyard, Estate, Roberitage, Estate Reserve}","{Rhône-style Red Blend, Mourvèdre, Syrah, Bordeaux-style Red Blend, Grenache}",16
Dante Robino,{Argentina},{Mendoza Province},{13.0},{88},{Estate Bottled},{Bonarda},1
Danza del Sol,{US},{California},"{44.0, 30.0}","{86, 87}","{Super Tuscan, Reserve}","{Sangiovese-Cabernet Sauvignon, Chardonnay}",2
Daou,{US},{California},"{65.0, 36.0, 100.0, 75.0, 46.0, 50.0, 85.0, 150.0, 56.0}","{96, 89, 90, 91, 92, 93, 94, 95}","{Reserve, Unbound, Estate, Micho, Cuvée Lizzy}","{Cabernet Sauvignon, Bordeaux-style Red Blend, Red Blend, Chardonnay, Zinfandel}",27
Darby,{US},{Washington},"{42.0, 45.0, 50.0, 20.0, 25.0, 58.0}","{87, 88, 89, 90, 91, 92}","{Purple Haze, Le Deuce, The Swagger, Stillwater Creek Vineyard, Aunt Lee}","{Bordeaux-style Red Blend, Syrah, White Blend, Grenache, Marsanne}",10
Darcie Kent Vineyards,{US},{California},"{35.0, 40.0, 45.0, 15.0, 18.0, 20.0, 24.0, 25.0, 30.0}","{82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92}","{Rava Blackjack Vineyard, DeMayo Vineyard, Madden Ranch, West Pinnacles Vineyard, Picazo Vineyard}","{Chardonnay, Cabernet Sauvignon, Grüner Veltliner, Zinfandel, Sauvignon Blanc}",28
Darien,{Spain},{Northern Spain},"{40.0, 18.0, 10.0, 13.0}","{82, 83, 84, 88, 90}","{Crianza, Rosado, Seleccion}","{Tempranillo, Tempranillo Blend}",5
Darioush,{US},{California},"{64.0, 225.0, 38.0, 39.0, 74.0, 43.0, 45.0, 48.0, 245.0, 95.0}","{96, 86, 90, 92, 93, 94, 95}","{Signature, Signature Series, Darius II, Caravan, Sage Vineyard}","{Cabernet Sauvignon, Chardonnay, Shiraz, Viognier, Sauvignon Blanc}",12
Dark Horse,{US},{California},{10.0},"{88, 87}","{The Original, Big, Big Red Blend No 33-1}","{Red Blend, Pinot Noir, Sauvignon Blanc}",5
Darms Lane,{US},{California},{60.0},"{88, 89, 87}",{Bon Passe Vineyard},{Cabernet Sauvignon},3
Darting,{Germany},{Pfalz},"{21.0, 22.0, 39.0}","{89, 86, 87}","{Durkheimer Fronhof Kabinett Trocken, Durkheimer Nonnengarten Auslese, Durkheimer Hochbenn Trocken, Durkheimer Nonnengarten Kabinett}","{Riesling, Rieslaner, Muskateller}",4
Dashe Cellars,{US},{California},"{24.0, 32.0, 20.0}","{88, 83, 84, 87}","{Late Harvest, Tood Brothers Ranch Old Vines, Dry Riesling McFadden Farms, Les Enfants Terribles, Louvau Vineyard Old Vines}","{Zinfandel, Riesling, Grenache}",10
Dauntless,{US},{Oregon},"{35.0, 30.0}","{85, 86}","{No Man's Land Wädenswil, Howitzer}",{Pinot Noir},3
Dautel-Cadot,{France},{Champagne},"{75.0, 59.0, 90.0, 35.0}","{88, 90, 84, 87}","{Cuvée Elégance Brut, Grande Tradition Blanc de Noirs Brut, Brut Rosé, Cuvée Prestige Brut}","{Pinot Noir, Pinot Blanc, Champagne Blend}",4
Dauvergne & Ranvier,{France},{Rhône Valley},"{38.0, 41.0, 16.0, 17.0, 18.0, 20.0, 22.0, 30.0}","{84, 85, 86, 87, 89, 90, 91, 92}","{Vin Gourmand, Vin Rare, Vade Retro, Domaine des Muretins, Grand Vin}","{Rhône-style Red Blend, Rhône-style White Blend, Rosé, Syrah}",10
Davenport Cellars,{US},{Washington},"{16.0, 19.0}","{88, 89, 90}","{Snowflake White Wine, Snowflake, Barrel Fermented}","{White Blend, Sauvignon Blanc-Semillon, Sémillon}",3
Daviana,{US},{California},{45.0},{87},{Cabernache},{Red Blend},1
David Arthur,{US},{California},"{135.0, 175.0, 150.0, 55.0, 125.0, 95.0}","{99, 89, 90, 93, 94, 95}","{Meritaggio, Elevation 1147, Old Vine Estate, Elevation 1147', Elevation 1147 Estate}","{Cabernet Sauvignon, Red Blend}",9
David Clinton,{US},{California},"{24.0, 29.0}","{88, 90, 84, 86}","{Teldeschi Vineyard Ancient Vine, Mounts Family Vineyard Old Vine, Forté Unti Vineyard, Unti Vineyard Old Vine}",{Zinfandel},4
David Duband,{France},{Burgundy},"{100.0, 85.0, 135.0}","{93, 94}","{Aux Thorey Premier Cru, Les Sentiers Premier Cru, Les Broc Premier Cru}",{Pinot Noir},3
David Fulton,{US},{California},{45.0},{89},{Estate Bottled},{Petite Sirah},2
David Girard,{US},{California},"{34.0, 75.0, 28.0, 30.0}","{88, 89, 84, 86}","{Estate Vineyard, Okei-San, Coda Rouge}","{Grenache Blanc, Mourvèdre, Syrah, Rhône-style Red Blend}",6
David Hill,{US},"{Oregon, America}","{32.0, 35.0, 38.0, 10.0, 11.0, 12.0, 45.0, 14.0, 15.0, 16.0, 17.0, 18.0, 50.0, 20.0, 22.0, 55.0, 24.0, 28.0}","{84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Estate, Estate Reserve, Estate BlackJack, Barrel Select Estate, Old Vine}","{Pinot Noir, Riesling, Chardonnay, Pinot Blanc, Pinot Gris}",45
David Moreau,{France},{Burgundy},"{40.0, 51.0, 30.0}","{89, 91, 92}","{Clos Rousseau Premier Cru, Clos des Mouches Premier Cru, Cuvée S}",{Pinot Noir},4
Davies,{US},{California},"{80.0, 50.0, 85.0, 55.0, 60.0}","{88, 90, 91, 92, 93, 94}","{Ferrington Vineyards, Nobles Vineyard, Winfield Vineyard, Londer Vineyards, jd}","{Pinot Noir, Cabernet Sauvignon}",24
Davino,{Romania},{Dealu Mare},"{58.0, 28.0, 22.0}","{88, 89, 90, 87}","{Domaine Ceptura, Purpura Valahica, Flamboyant, Alba Valahica}","{Red Blend, Feteasca Neagra, White Blend, Feteasca}",7
Davis Bynum,{US},{California},"{35.0, 40.0, 55.0, 25.0, 60.0, 30.0}","{86, 88, 90, 91, 92, 93}","{Jane's Vineyard, Virginia's Block Jane's Vineyard, River West Vineyard, Jane's Vineyard Dijon Clone 115, Jane's Vineyard Clone 23}","{Pinot Noir, Sauvignon Blanc, Chardonnay}",16
Davis Estates,{US},{California},"{35.0, 85.0, 30.0}","{88, 91}","{Ravishing Raven, Zephyr Private Reserve, Private Reserve}","{Pinot Noir, Bordeaux-style Red Blend, Sauvignon Blanc}",5
Davis Family,{US},{California},"{65.0, 38.0, 42.0, 45.0, 50.0, 55.0, 30.0}","{86, 88, 90, 91, 92, 93, 94}","{Soul Patch Estate Grown, Starr Ridge Vineyard, Throne, Cuvée Luke Saralee's Vineyard, Horseshoe Bend Vineyard}","{Pinot Noir, Rhône-style White Blend, G-S-M, Syrah, Bordeaux-style Red Blend}",32
Day,{US},{Oregon},"{33.0, 35.0, 38.0, 42.0, 45.0, 18.0}","{88, 85, 86, 87}","{Cancilla Vineyard, Running Bare Mae's Vineyard, Johan Vineyards, Vin de Days Blanc, Crowley Station Vineyards}","{Pinot Noir, Red Blend, White Blend, Chardonnay}",9
De Alberto,{Spain},{Northern Spain},"{16.0, 25.0, 15.0}","{83, 85}","{Monasterio de Palazuelos, CCCL Tinto Selección}","{Verdejo, Sauvignon Blanc, Tempranillo-Cabernet Sauvignon}",4
De Angelis,{Italy},"{Southern Italy, Central Italy}","{19.0, 20.0}","{85, 86}","{Rosato, Oro}","{Rosé, Red Blend}",2
De Bardos,{Spain},{Northern Spain},"{48.0, 26.0}","{91, 92}","{Ars Mítica, Suprema 30 Meses}","{Tempranillo Blend, Tempranillo}",2
De Bortoli,{Australia},"{Australia Other, Victoria, New South Wales}","{32.0, 36.0, 38.0, 40.0, 9.0, 10.0, 41.0, 12.0, 13.0, 45.0, 15.0, 17.0, 18.0, 20.0, 22.0, 60.0, 30.0}","{82, 83, 84, 85, 86, 87, 88, 89, 90, 94}","{DB Family Selection, Estate Grown, Emeri Pink Moscato, DB Family Selection Sparkling Brut, Regional Reserve}","{Pinot Noir, Sparkling Blend, Chardonnay, Shiraz, Petite Sirah}",46
De Coelo,{US},{California},"{75.0, 100.0, 69.0}","{89, 91, 92, 93, 94}","{Quintus Vineyard, Arbore Sacra, Quintus, Terra Neuma Vineyard, Domaine de Clarck}",{Pinot Noir},6
De Faveri,{Italy},{Veneto},"{28.0, 39.0, 22.0, 31.0}","{88, 87}","{Frizzante Spago, GeG, Millesimato Brut, Dry}",{Glera},5
De Filippi,{Italy},{Lombardy},{19.0},{88},{Mariacristina Pas Dosé Metodo Classico},{Pinot Nero},2
De Fina,{US},{California},{75.0},{85},{Reverence Vineyard},{Cabernet Sauvignon},1
De Loach,{US},{California},"{32.0, 34.0, 35.0, 36.0, 70.0, 40.0, 42.0, 44.0, 45.0, 16.0, 50.0, 18.0, 20.0, 85.0, 22.0, 25.0, 30.0}","{96, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{OFS, Maboroshi Vineyard, Hawk Hill Vineyard, Heintz Vineyard, Thornton Vineyard}","{Pinot Noir, Chardonnay, Zinfandel, Rosé, Sauvignon Blanc}",72
De Lucia,{Italy},{Southern Italy},{32.0},{84},{Campo di Fiori},{White Blend},1
De Luze,{France},{Bordeaux},{11.0},{84},{Cuvée Fashion},{Bordeaux-style Red Blend},1
De Martino,{Chile},"{Maipo Valley, Limarí Valley, Central Valley, Choapa Valley, Casablanca Valley}","{35.0, 10.0, 43.0, 12.0, 13.0, 45.0, 15.0, 16.0, 14.0, 18.0, 47.0, 20.0, 19.0, 25.0, 30.0}","{80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91}","{Legado Reserva, Prima Reserva, 347 Vineyards, Viejas Tinajas, Estate}","{Carmenère, Chardonnay, Sauvignon Blanc, Cabernet Sauvignon, Syrah}",43
De Mour,{France},{Bordeaux},"{25.0, 15.0}","{84, 85}","{Prince Rubis, Duc de Rochebois}","{Bordeaux-style Red Blend, Bordeaux-style White Blend}",3
De Novo,{US},{California},"{27.0, 38.0, 39.0}","{82, 85, 86}","{Bastille, aCURE eSTATE Vineyard, aCure eState Vineyard}","{Cabernet Sauvignon, Bordeaux-style Red Blend}",4
De Paola Vineyard,{US},{California},{29.0},{87},{Emilio},{Zinfandel},1
De Ponte Cellars,{US},{Oregon},"{70.0, 55.0}",{91},"{Estate, Baldwin Family Reserve}",{Pinot Noir},2
De Saint Gall,{France},{Champagne},"{48.0, 32.0}","{89, 86}","{Premier Cru Blanc de Blancs Brut, Bouzy Brut}",{Champagne Blend},2
De Sante,{US},{California},"{35.0, 28.0, 70.0}","{88, 86, 83, 94}","{Old Vine, Oakville Terraces, L'Atelier}","{Chardonnay, Cabernet Sauvignon, Bordeaux-style White Blend}",4
De Sousa & Fils,{France},{Champagne},"{56.0, 90.0, 60.0, 50.0}","{88, 90, 91, 92, 94}","{Blanc de Blancs Réserve Brut, Réserve Blanc de Blancs Brut, Cuvée 3A Grand Cru Brut, Cuvée des Caudalies Grand Cru Blanc de Blancs Brut, Rosé Brut}","{Chardonnay, Champagne Blend}",6
De Stefani,{Italy},{Veneto},"{33.0, 130.0, 35.0, 37.0, 69.0, 40.0, 44.0, 80.0, 50.0, 22.0, 24.0, 25.0, 30.0}","{86, 87, 88, 89, 90}","{Olmèra, Plavis, Kreda, Brut, Zero Gran Cuvée Extra Dry}","{Glera, White Blend, Merlot, Red Blend, Refosco}",21
De Tierra,{US},{California},"{40.0, 26.0, 52.0, 47.0}","{89, 91, 85, 87}","{Russell Estate, Zabala Vineyard, Tondre Grapefield, Vindegard, Five by Five}","{Pinot Noir, Riesling, Chardonnay, Bordeaux-style Red Blend}",6
De Toren,{South Africa},"{Stellenbosch, Coastal Region}","{35.0, 330.0, 45.0, 50.0, 55.0, 60.0, 30.0}","{90, 91, 93, 94, 95}","{Fusion V, Z, Book 17 XVII}","{Bordeaux-style Red Blend, Red Blend}",14
De Venoge,{France},{Champagne},"{199.0, 72.0, 75.0, 45.0, 207.0, 153.0, 90.0, 60.0}","{84, 89, 90, 92, 93}","{Louis XV Brut, Princes Blanc de Noirs Brut, Princes Rosé Brut, Louis XV Brut Rosé, Brut Blanc de Blancs}","{Champagne Blend, Pinot Noir, Chardonnay}",8
De Wetshof,{South Africa},{Robertson},"{12.0, 14.0, 17.0, 18.0, 20.0, 24.0, 25.0}","{85, 87, 88, 90, 91}","{Lesca, Bon Vallon, Limestone Hill Estate, Rhine Riesling, Bateleur}","{Chardonnay, Riesling, Sauvignon Blanc}",11
DeLille,{US},{Washington},"{140.0, 25.0, 160.0, 34.0, 36.0, 37.0, 38.0, 39.0, 40.0, 42.0, 45.0, 46.0, 48.0, 49.0, 55.0, 65.0, 67.0, 69.0, 72.0, 75.0, 79.0, 80.0, 85.0, 90.0, 100.0}","{87, 89, 90, 91, 92, 93, 95}","{D2, Chaleur Estate, Four Flags, Chaleur Estate Blanc, Harrison Hill}","{Bordeaux-style Red Blend, Cabernet Sauvignon, Bordeaux-style White Blend, Red Blend, Syrah}",39
DeLorimier,{US},{California},"{32.0, 34.0, 38.0, 40.0, 42.0, 43.0}","{82, 83, 84, 85, 86, 88, 89}","{Mosaic, Warm Springs Ranch, Estate, Keeper Vineyard, Crazy Creek Vineyard}","{Cabernet Sauvignon, Meritage, Chardonnay, Sangiovese, Zinfandel}",13
DeLucia Vineyards,{Italy},{Southern Italy},"{50.0, 15.0}","{89, 86}","{Murellaia, Vigna delle Ginestre}","{Aglianico, Falanghina}",2
DeMorgenzon,{South Africa},"{Stellenbosch, Western Cape}","{35.0, 105.0, 12.0, 18.0, 25.0}","{87, 88, 91, 92, 93}","{Reserve, DMZ, Maestro, DMZ Rosé, The Divas}","{Chenin Blanc, Sauvignon Blanc, White Blend, Cabernet, Bordeaux-style Red Blend}",11
DeRose,{US},{California},{25.0},{84},{Dryfarmed Old Vine},{Cabernet Pfeffer},1
DeTierra Vineyards,{US},{California},"{40.0, 28.0, 30.0, 52.0}","{89, 90, 91, 92, 94}","{Russell Estate, Mesa Del Sol, Mesa del Sol Vineyard, The Puzzler}","{Syrah, Merlot, Chardonnay, Pinot Noir, Red Blend}",9
DeWaal,{South Africa},{Stellenbosch},"{40.0, 11.0}","{89, 86}","{Young Vines, CT De Waal}","{Sauvignon Blanc, Pinotage}",2
Dealy Lane,{US},{California},{18.0},{86},{Unoaked},{Chardonnay},1
Deaver,{US},{California},"{26.0, 27.0, 28.0, 30.0}","{83, 85, 87, 88, 89, 91, 93}","{Ten Zin, Signature, Henry's House, Old Vine 1867}",{Zinfandel},10
Debonné,{US},{Ohio},"{17.0, 11.0, 12.0, 15.0}","{83, 84, 86}","{Reserve, Reserve Lot 907, Vintner's Selection, Lot 807 Reserve, Lot 707 Reserve}","{Riesling, Chardonnay}",8
Decades5,{US},{California},{145.0},"{86, 94}",{Stagecoach Vineyard},"{Petite Verdot, Petit Verdot}",3
Decibel,{New Zealand},"{Martinborough, Hawke's Bay}","{28.0, 15.0}","{89, 90, 92, 87}",{Single Vineyard},"{Pinot Noir, Sauvignon Blanc}",5
Decoy,{US},{California},{30.0},{85},{Red Wine},{Bordeaux-style Red Blend},1
Decroux,{US},{California},{75.0},"{91, 92, 93}","{John Sebastiano Vineyard, La Encantada Vineyard, Radian Vineyard, Rosemary's Vineyard}",{Pinot Noir},6
Decugnano dei Barbi,{Italy},{Central Italy},"{40.0, 18.0, 27.0, 28.0}","{88, 89, 87}","{Pourriture Noble, Decugnano Rosso, Villa Barbi Rosso, Maris, Il Bianco}","{White Blend, Red Blend, Chardonnay}",7
Ded.Reckoning,{US},{Washington},"{35.0, 40.0, 45.0, 15.0, 20.0, 90.0, 60.0}","{84, 87, 88, 89, 90, 91}","{No. 10, No. 13 Ramseyer Vineyard, Reserve, Flintlock, Cutlass}","{Cabernet Sauvignon, Malbec, Merlot, Bordeaux-style Red Blend, Grenache}",14
Deep Sea,{US},{California},"{32.0, 36.0, 38.0, 39.0, 22.0, 28.0}","{83, 85, 86, 87, 89, 90, 92}","{White Hawk Vineyard, Coquina, Bien Nacido Vineyard, Solomon Hills, The Octopus}","{Syrah, Chardonnay, Sauvignon Blanc, Pinot Noir, Merlot}",8
Deer Creek,{US},{Oregon},"{40.0, 25.0, 50.0, 20.0}","{89, 82, 83}","{Private Reserve, Bella's Sunshine}","{Pinot Noir, White Blend, Chardonnay}",4
Deerfield,{US},{California},"{24.0, 28.0}","{89, 87}","{Red Rex, Peterson Vineyard}","{Red Blend, Sauvignon Blanc}",2
Deerfield Ranch,{US},{California},"{50.0, 18.0, 20.0, 22.0, 55.0, 27.0, 28.0}","{82, 84, 88, 89, 90, 93}","{Checkerbloom Estate, Peterson Vineyard, Tawny Estate, Cuveé, Estate}","{Syrah, Rosé, Sauvignon Blanc, Merlot, Sangiovese}",9
Deering,{US},{California},"{42.0, 45.0}","{85, 86}","{Maus Vineyard, Ideal A Better Red}","{Zinfandel, Red Blend}",2
Degani,{Italy},{Veneto},"{56.0, 20.0}","{89, 87}","{Cicilio, La Rosta}","{Corvina, Rondinella, Molinara}",3
Dehesa de los Canónigos,{Spain},{Northern Spain},{50.0},{88},{Solideo Reserva 25 Meses},{Tempranillo Blend},1
Dehesa de los Llanos,{Spain},{Central Spain},"{35.0, 22.0}","{89, 90}","{Maza Cruz, Maza Cruz Cima}",{Red Blend},2
Dehesa el Carrascal,{Spain},{Central Spain},{25.0},{88},{Dulcemar},{Garnacha},1
Dehesas y Viñedos de Navamarín,{Spain},{Central Spain},{59.0},"{88, 87}","{Aldonza Navamarín Limited Edition, Aldonza Navamarín}",{Red Blend},2
Dehlinger,{US},{California},"{65.0, 68.0, 40.0, 45.0, 48.0, 55.0, 60.0}","{91, 92, 93, 94, 95}","{Altamont, Goldridge, Champ de Mars, Unfiltered, Estate}","{Pinot Noir, Syrah, Chardonnay, Cabernet Sauvignon}",10
Dei,{Italy},{Tuscany},{52.0},{89},{Bossona Riserva},{Sangiovese},1
Del Carlo Winery,{US},{California},"{32.0, 30.0}","{84, 86, 87, 88, 90}","{Home Ranch Teldeschi Vineyards Century Old Vine, Old Vine Home Ranch, Home Ranch, Teldeschi Home Ranch, Teldeschi Vineyards Home Ranch}","{Zinfandel, Cabernet Sauvignon}",7
Del Dotto,{US},{California},"{49.0, 125.0, 75.0, 85.0}","{96, 87, 88, 89, 91, 92, 95}","{Cinghiale Vineyard, Cinghiale Vineyard Pinot Noir, Cinghiale Vineyard Family Reserve, Cinghiale Vineyard Gerard's Blend, Family Reserve Cinghiale Vineyard}","{Chardonnay, Pinot Noir, Sauvignon Blanc, Rosé, Syrah}",11
Del Rio,{US},{Oregon},"{32.0, 35.0, 16.0, 20.0, 28.0}","{82, 83, 84, 85, 87, 88, 89}","{Estate Grown, Claret}","{Pinot Gris, Merlot, Viognier, Cabernet Franc, Cabernet Sauvignon}",11
Delaforce,{Portugal},"{Port, Douro}","{10.0, 46.0, 15.0, 17.0, 20.0, 60.0, 30.0}","{85, 86, 88, 89, 90, 91}","{Late Bottled Vintage, Tinto, Colheita, Curious & Ancient 20 Years, His Eminence's Choice 10-Years-Old Tawny}","{Port, Portuguese Red}",12
Delaire Graff,{South Africa},{Coastal Region},{40.0},{90},{Reserve},{White Blend},2
Delamotte,{France},{Champagne},"{104.0, 42.0, 78.0, 79.0, 112.0, 50.0, 53.0, 55.0, 57.0, 95.0, 63.0}","{88, 90, 91, 92, 93}","{Blanc de Blancs Brut, Brut, Rosé Brut, Blanc de Blancs}","{Champagne Blend, Chardonnay}",13
Delas Frères,{France},"{Rhône Valley, Languedoc-Roussillon}","{98.0, 35.0, 105.0, 9.0, 12.0, 44.0, 46.0, 54.0}","{85, 88, 89, 91, 92, 94}","{Haute Pierre, Saint-Esprit, La Landonne, Marquise de la Tourette, Sainte-Épine}","{Rhône-style Red Blend, Syrah, Rhône-style White Blend, Merlot}",10
Delbeck,{France},{Champagne},"{35.0, 67.0, 42.0, 48.0, 51.0}","{84, 85, 87, 92, 94}","{Heritage Brut, Rosé Heritage Brut, Brut, Cramant Brut}",{Champagne Blend},5
Delea,{Switzerland},{Ticino},{38.0},{83},{Carato},{Merlot},1
Delectus,{US},{California},"{130.0, 100.0, 165.0, 140.0, 85.0, 30.0}","{81, 83, 85, 91, 92}","{Cuvée Julia, Bear Crossing, Kick Ranch, French Wedding, Boulder Falls}","{Cabernet Sauvignon, Red Blend, Sauvignon Blanc}",6
Delfino,{US},{Oregon},"{25.0, 35.0}","{89, 87}","{Reserve, Mezzo Mezzo}","{Tempranillo, Cabernet Sauvignon-Merlot}",2
Delgado Zuleta,{Spain},{Andalucia},"{16.0, 25.0}","{88, 90, 86, 87}","{Premium Pedro Ximénez, Premium Moscatel, Premium Fino, La Goya, Premium Cream}","{Sherry, Pedro Ximénez}",11
Delheim,{South Africa},{Simonsberg-Stellenbosch},"{16.0, 30.0}","{90, 91}","{Grand Reserve, Rosé}","{Cabernet Sauvignon, Pinotage}",2
Delicato,{US},{California},{7.0},{85},{Domino},"{Moscato, Pinot Grigio}",2
Della,{US},{California},{70.0},"{90, 92, 93, 94}","{Terra de Promissio, Keefer Ranch, Keefer Ranch Vineyard, Ritchie Vineyard, Terra De Promissio Vineyard}","{Pinot Noir, Chardonnay}",7
Delmas,"{US, France}","{Oregon, Languedoc-Roussillon, Washington}","{65.0, 12.0}","{85, 93, 94}","{SJR Vineyard, Cuvée Berlène Brut}","{Syrah, Sparkling Blend}",3
Deltetto,{Italy},{Piedmont},"{35.0, 15.0, 50.0, 20.0, 53.0, 26.0, 60.0}","{87, 88, 89, 90, 91, 92}","{Bussia, Braja Riserva, Sistaglia, San Michele, Daivej}","{Nebbiolo, Arneis}",8
Demarie,{Italy},{Piedmont},"{40.0, 17.0}","{83, 87}","{Birbet, For You Metodo Classico}","{Brachetto, Arneis}",2
Demencia de Autor,{Spain},{Northern Spain},{65.0},{91},{Demencia},{Mencía},1
Demessey,{France},{Burgundy},"{40.0, 22.0, 23.0}","{90, 84}","{Château de Messey Les Crets, Les Hâtes, Clos des Avoueries}","{Chardonnay, Pinot Noir}",3
